Identificatore, Italiano, Inglese,spagnolo,francese,tedesco
DISABILITATO, Disabilitato, Deactivated, Desactivado, Desactive, Deaktiviert
ABILITATO, Abilitato, Activated, Activado, Active, Aktiviert
