Identificatore, Italiano, Inglese,spagnolo,francese,Tedesco
AVANTI_INDIETRO, Avanti/indietro, Forward/backward, Avance/retroceso, Avant/arrière, Vorwärts/Rückwärts
MARCIA_DIREZIONE, Marcia/direzione, Run/direction, Avance/dirección, Avant/direction, Vorwärts/Richtung
