Identificatore, Italiano, Inglese,Spagnolo,Francese,Tedesco
NC, Normalmente chiuso, Normally closed, Normalmente cerrado, Normalement fermé, Normalerweise geschlossen
NA, Normalmente aperto, Normally open, Normalmente abierto, Normalement ouvert, Normalerweise offen
